Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
Lebanon,46.3,16.5,32.2,33.4,37.8,20.7,2024
Guyana,46.2,11.5,29.8,48.2,44.8,21.9,2024
Cuba,45.6,10.6,29,41.3,25.5,1.7,2024
Ivory Coast,44.7,16.8,31.5,38.3,27.5,8.5,2024
Oman,44.4,13.3,29.7,39.5,33.5,109.6,2024
Senegal,44,22.7,33.9,40.1,37.9,18,2024
Mexico,43.8,17,31.1,45.6,36.7,38,2024
Kuwait,43.4,24.3,34.4,33.8,36.9,128.5,2024
Hungary,43.4,11.3,28.2,39.5,36.7,49.8,2024
Palestine,43.3,8.4,26.8,40.6,27.4,37.4,2024
Ethiopia,43.1,15.1,29.8,42.4,19.5,10.4,2024
Jordan,43,7.6,26.2,36.9,35.8,36.4,2024
Mozambique,43,20.6,32.4,35,37.6,12.5,2024
Poland,41.9,19.2,31.1,35.9,35.7,66.2,2024
El Salvador,41.1,16.8,29.6,42.7,30.5,22.2,2024
Montenegro,40.9,16.6,29.4,36.3,35.6,41.8,2024
Albania,40.8,10.2,26.3,39.4,31,31.6,2024
Chile,39.9,11.5,26.4,40.6,35.1,36.4,2024
Mauritius,39.8,11,26.2,41.4,27.1,32.8,2024
Zambia,39.7,9,25.2,30.8,19.6,17.4,2024
Cameroon,39.6,18.3,29.5,33.4,38.5,8.4,2024
Venezuela,39.4,5.7,23.4,38.3,38.5,12.6,2024
Dominican Republic,39,11.2,25.8,36.6,33.2,23.5,2024
Romania,38.8,10.6,25.4,36.4,35,48.4,2024
Bulgaria,38.7,9.9,25.1,37.6,32.8,52.6,2024
Armenia,38.6,19.5,29.5,34.1,36.2,32.1,2024
Myanmar,38.6,15.3,27.5,31.2,16.1,16,2024
Cambodia,38.5,10.2,25.1,41.6,22.2,16.9,2024
Serbia,38.3,12.7,26.2,35,30.4,39.6,2024
Guatemala,37.7,12.9,25.9,39.1,27.9,29.7,2024
Honduras,37.3,10.3,24.5,36.6,26.5,35.1,2024
Georgia,37.2,15.5,26.9,35.7,34.5,27.9,2024
Zimbabwe,37,10.1,24.2,33.4,26.1,21.5,2024
Thailand,36,12.4,24.8,41,18.4,32.9,2024
Brazil,35.2,9,22.8,32.4,26,30.1,2024
Fiji,34.8,15.2,25.5,40,27.7,64,2024
Bosnia And Herzegovina,34.7,5.7,21,32.7,22,47.1,2024
Moldova,34.6,9.8,22.8,31,26.6,35.2,2024
China,34.1,13.4,24.3,37.6,21,60.5,2024
North Macedonia,34.1,6.8,21.1,31.2,22.8,37,2024
Turkey,33.8,13.2,24,30.3,25.8,39.3,2024
South Africa,33.8,11.8,23.4,27.6,28.7,84.7,2024
Ecuador,33.6,8.9,21.9,34,24.8,36.4,2024
Philippines,33.6,8.3,21.6,35.2,17.9,25.9,2024
Nicaragua,33.6,8.7,21.8,37.3,21.6,18.1,2024
Kazakhstan,33.5,13.6,24,31.9,29.7,36.8,2024
Sri Lanka,33.2,6,20.3,44.6,16.7,14.4,2024
Mongolia,32.7,11,22.4,37.2,21.9,23.5,2024
Kosovo (Disputed Territory),31.3,8.5,20.5,29.3,20.7,34.8,2024
Azerbaijan,31.1,8.1,20.2,28.4,30.1,29.4,2024
Peru,30.9,9.7,20.8,30.7,21.4,27.3,2024
Namibia,30.8,10.4,21.1,30,27.4,51.4,2024
Vietnam,30.8,9.7,20.8,34.6,14.9,32.5,2024
Colombia,30.6,8.8,20.3,30.6,20.9,28.1,2024
Malaysia,30.5,8.2,19.9,35.4,18.3,62.1,2024
Uganda,30.4,7.3,19.4,27.8,21.7,15.2,2024
Iraq,30.2,8.2,19.8,27.4,20.7,42,2024
Botswana,30.1,6.1,18.7,27.3,22.5,56.5,2024
Morocco,29.9,7.8,19.4,28.8,19.3,30.4,2024
Algeria,29.5,4.1,17.5,35.6,13.1,25.4,2024
Russia,29.5,9.9,20.2,25.9,26.2,41.5,2024
Egypt,29.1,5.5,17.9,27.8,21.7,15.2,2024
Somalia,29,4.5,17.4,30.9,23.6,30.5,2024
Tunisia,28.7,5,17.4,30,15.2,25.7,2024
Ukraine,28.6,8.5,19,26.6,22.2,32.2,2024
Indonesia,28.5,8.3,18.9,33.6,14.4,25.8,2024
Bolivia,28.3,7.4,18.4,25.9,19.7,32.3,2024
Argentina,27.8,6.8,17.8,25.6,23.6,35.8,2024
Paraguay,27.6,10.5,19.5,24.9,19.1,28.1,2024
Uzbekistan,27.1,12.1,20,27.8,20.1,28,2024
Belarus,27.1,8.2,18.2,24.4,25.3,39.6,2024
Nepal,26.9,4,16.1,24.8,17.6,20.3,2024
Iran,26.9,8.9,18.4,21.5,16.5,21.2,2024
Kyrgyzstan,26.9,11.1,19.4,25.9,20,24.5,2024
Rwanda,26.3,9.5,18.3,26.1,19.1,21.7,2024
Tanzania,26,8,17.5,25.8,20.3,21.6,2024
Ghana,26,11,18.8,27.2,22.9,14.8,2024
Madagascar,25.2,8,17,23.6,13.7,12.3,2024
Syria,25,4.1,15.1,23.5,16.5,4.7,2024
Bangladesh,24.9,2.7,14.4,26.6,14,25.8,2024
Kenya,24.8,7.1,16.4,23.8,18.3,30.6,2024
Afghanistan,22.8,2.8,13.3,17.3,13,22.4,2024
India,22.2,6.2,14.6,23.5,15.6,60.7,2024
Libya,21.2,4.4,13.3,21.5,15.2,33.7,2024
Nigeria,19.3,15.4,17.4,21.4,13.3,9.4,2024
Pakistan,18.5,2.9,11.1,16.4,12.7,24.5,2024
