Country,Year,Poverty_Percentage
South Africa,2005,28.3
Argentina,2006,2.2
Armenia,2006,2.0
Austria,2006,0.1
Burundi,2006,71.8
Belgium,2006,0.2
Bulgaria,2006,5.8
Belarus,2006,0.4
Bolivia,2006,12.5
Brazil,2006,8.3
Canada,2006,0.2
Switzerland,2006,0.0
Chile,2006,2.0
Costa Rica,2006,3.3
Cyprus,2006,0.0
Czech Republic,2006,0.1
Germany,2006,0.0
Denmark,2006,0.1
Dominican Republic,2006,6.3
East Asia & Pacific,2006,20.5
Europe & Central Asia,2006,3.3
Ecuador,2006,8.2
Spain,2006,0.8
Estonia,2006,0.8
Fragile and conflict affected situations,2006,36.9
Finland,2006,0.1
France,2006,0.0
United Kingdom,2006,0.2
Georgia,2006,12.6
Greece,2006,0.6
Guatemala,2006,11.7
High income,2006,0.6
Honduras,2006,21.1
Hungary,2006,0.1
IDA total,2006,37.5
Indonesia,2006,30.6
Ireland,2006,0.4
Iran,2006,0.8
Iraq,2006,0.0
Iceland,2006,0.1
Israel,2006,0.2
Italy,2006,0.7
Jordan,2006,0.1
Kazakhstan,2006,1.0
Kyrgyz Republic,2006,8.4
Kiribati,2006,14.0
South Korea,2006,0.2
Latin America & Caribbean,2006,8.9
Low income,2006,51.3
Sri Lanka,2006,5.6
Lower middle income,2006,31.7
Low & middle income,2006,25.6
Lithuania,2006,1.5
Luxembourg,2006,0.0
Latvia,2006,1.6
Morocco,2006,4.2
Moldova,2006,2.0
Middle East & North Africa,2006,2.7
Mexico,2006,5.4
Mali,2006,49.7
Malta,2006,0.5
Mauritius,2006,0.3
Malaysia,2006,0.8
Netherlands,2006,0.0
Norway,2006,0.1
Panama,2006,9.4
Peru,2006,15.6
Philippines,2006,14.9
Poland,2006,0.7
Portugal,2006,0.1
Paraguay,2006,7.9
West Bank and Gaza,2006,0.3
Romania,2006,7.4
Russia,2006,0.4
South Asia,2006,33.8
El Salvador,2006,7.7
Sub-Saharan Africa,2006,47.2
Slovakia,2006,0.2
Slovenia,2006,0.1
Sweden,2006,0.4
Syria,2006,2.8
Togo,2006,61.0
Thailand,2006,0.9
Ukraine,2006,0.2
Upper middle income,2006,15.9
Uruguay,2006,0.6
United States,2006,1.0
Venezuela,2006,7.1
Vietnam,2006,14.9
World,2006,20.7
Kosovo,2006,4.1
Zambia,2006,64.7
Argentina,2007,1.8
Armenia,2007,1.5
Austria,2007,0.4
Belgium,2007,0.2
Bulgaria,2007,1.8
Bosnia And Herzegovina,2007,0.1
Belarus,2007,0.2
Bolivia,2007,9.5
Brazil,2007,7.9
Bhutan,2007,5.9
Canada,2007,0.2
Switzerland,2007,0.0
Cameroon,2007,31.4
Cabo Verde,2007,10.6
Costa Rica,2007,1.8
Cyprus,2007,0.0
Czech Republic,2007,0.1
Germany,2007,0.0
Denmark,2007,0.0
Dominican Republic,2007,6.1
East Asia & Pacific,2007,18.4
Europe & Central Asia,2007,2.2
Ecuador,2007,8.5
Spain,2007,0.4
Estonia,2007,0.4
Fragile and conflict affected situations,2007,35.4
Finland,2007,0.1
France,2007,0.0
United Kingdom,2007,0.2
Georgia,2007,14.2
Guinea,2007,48.1
Greece,2007,0.5
High income,2007,0.5
Honduras,2007,15.6
Hungary,2007,0.1
IDA total,2007,35.4
Indonesia,2007,25.2
Ireland,2007,0.1
Iceland,2007,0.1
Israel,2007,0.5
Italy,2007,0.7
Kazakhstan,2007,0.4
Kyrgyz Republic,2007,8.8
Lao PDR,2007,19.5
Liberia,2007,53.3
Latin America & Caribbean,2007,7.7
Low income,2007,50.2
Lower middle income,2007,29.8
Low & middle income,2007,24.1
Lithuania,2007,1.3
Luxembourg,2007,0.0
Latvia,2007,0.6
Moldova,2007,1.0
Middle East & North Africa,2007,2.7
Malta,2007,0.4
Mongolia,2007,1.7
Niger,2007,78.9
Netherlands,2007,0.0
Norway,2007,0.1
Pakistan,2007,14.9
Panama,2007,6.7
Peru,2007,13.2
Poland,2007,0.5
Portugal,2007,0.3
Paraguay,2007,7.8
West Bank and Gaza,2007,1.4
Romania,2007,5.3
Russia,2007,0.2
South Asia,2007,32.1
El Salvador,2007,5.1
Sub-Saharan Africa,2007,46.0
Slovakia,2007,0.4
Slovenia,2007,0.0
Sweden,2007,0.4
Thailand,2007,0.5
Tajikistan,2007,12.8
Timor-Leste,2007,40.9
Tanzania,2007,56.2
Ukraine,2007,0.1
Upper middle income,2007,14.4
Uruguay,2007,0.4
United States,2007,1.0
World,2007,19.4
Angola,2008,14.6
Albania,2008,0.2
Argentina,2008,1.6
Armenia,2008,0.9
Australia,2008,0.4
Austria,2008,0.5
Belgium,2008,0.1
Bulgaria,2008,1.3
Belarus,2008,0.2
Bolivia,2008,8.3
Brazil,2008,6.5
Central African Republic,2008,61.9
Canada,2008,0.2
Switzerland,2008,0.1
China,2008,18.0
Ivory Coast,2008,34.4
Colombia,2008,11.0
Costa Rica,2008,2.4
Cyprus,2008,0.0
Czech Republic,2008,0.0
Germany,2008,0.0
Denmark,2008,0.1
Dominican Republic,2008,5.4
East Asia & Pacific,2008,17.4
Europe & Central Asia,2008,1.4
Ecuador,2008,7.5
Egypt,2008,2.9
Spain,2008,0.5
Estonia,2008,0.4
Fragile and conflict affected situations,2008,34.3
Finland,2008,0.1
Fiji,2008,1.0
France,2008,0.0
United Kingdom,2008,0.2
Georgia,2008,12.4
Greece,2008,0.3
High income,2008,0.5
Honduras,2008,15.2
Hungary,2008,0.0
IDA total,2008,33.6
Indonesia,2008,24.7
Ireland,2008,0.2
Iceland,2008,0.1
Israel,2008,0.5
Italy,2008,0.7
Jordan,2008,0.0
Japan,2008,0.5
Kazakhstan,2008,0.2
Kyrgyz Republic,2008,3.3
South Korea,2008,0.2
Latin America & Caribbean,2008,7.0
Low income,2008,48.4
Lower middle income,2008,28.5
Low & middle income,2008,23.1
Lithuania,2008,1.4
Luxembourg,2008,0.0
Latvia,2008,1.3
Moldova,2008,1.0
Middle East & North Africa,2008,2.6
Mexico,2008,6.0
Malta,2008,0.1
Mozambique,2008,70.8
Mauritania,2008,11.9
Malaysia,2008,0.7
Netherlands,2008,0.1
Norway,2008,0.2
Panama,2008,4.1
Peru,2008,10.9
Poland,2008,0.2
Portugal,2008,0.1
Paraguay,2008,4.3
Romania,2008,4.1
Russia,2008,0.1
South Asia,2008,30.9
El Salvador,2008,7.7
Sub-Saharan Africa,2008,44.5
Slovakia,2008,0.4
Slovenia,2008,0.0
Sweden,2008,0.6
Thailand,2008,0.3
Ukraine,2008,0.0
Upper middle income,2008,13.7
Uruguay,2008,0.2
United States,2008,1.0
Vietnam,2008,11.1
World,2008,18.6
Samoa,2008,1.1
South Africa,2008,18.7
Argentina,2009,1.6
Armenia,2009,1.2
Austria,2009,0.7
Belgium,2009,0.1
Burkina Faso,2009,52.6
Bulgaria,2009,1.3
Belarus,2009,0.1
Bolivia,2009,8.8
Brazil,2009,6.1
Botswana,2009,17.7
Canada,2009,0.2
Switzerland,2009,0.0
Chile,2009,1.7
Colombia,2009,9.6
Costa Rica,2009,2.5
Cyprus,2009,0.1
Czech Republic,2009,0.0
Germany,2009,0.0
Denmark,2009,0.5
Dominican Republic,2009,4.7
East Asia & Pacific,2009,15.3
Europe & Central Asia,2009,1.2
Ecuador,2009,7.3
Spain,2009,0.8
Estonia,2009,0.6
Fragile and conflict affected situations,2009,33.7
Finland,2009,0.1
France,2009,0.0
United Kingdom,2009,0.2
Georgia,2009,12.1
Greece,2009,0.6
High income,2009,0.5
Honduras,2009,12.3
Croatia,2009,0.9
Hungary,2009,0.1
IDA total,2009,32.6
Indonesia,2009,21.0
India,2009,33.5
Ireland,2009,0.5
Iran,2009,1.5
Iceland,2009,0.1
Israel,2009,0.5
Italy,2009,0.9
Kazakhstan,2009,0.2
Kyrgyz Republic,2009,1.5
Latin America & Caribbean,2009,6.7
Low income,2009,48.6
Sri Lanka,2009,3.5
Lower middle income,2009,27.0
Low & middle income,2009,21.8
Lithuania,2009,2.2
Luxembourg,2009,0.0
Latvia,2009,1.7
Moldova,2009,0.7
Maldives,2009,3.8
Middle East & North Africa,2009,2.3
North Macedonia,2009,9.8
Mali,2009,48.2
Malta,2009,0.4
Namibia,2009,26.9
Nicaragua,2009,8.3
Netherlands,2009,0.1
Norway,2009,0.1
Panama,2009,2.5
Peru,2009,8.8
Philippines,2009,11.3
Papua New Guinea,2009,39.7
Poland,2009,0.4
Portugal,2009,0.2
Paraguay,2009,5.8
West Bank and Gaza,2009,0.3
Romania,2009,3.1
Russia,2009,0.1
South Asia,2009,29.5
Sudan,2009,18.6
El Salvador,2009,7.4
South Sudan,2009,34.5
Sub-Saharan Africa,2009,43.9
Slovakia,2009,0.4
Slovenia,2009,0.0
Sweden,2009,0.5
Eswatini,2009,49.3
Syria,2009,2.4
Thailand,2009,0.2
Tajikistan,2009,6.8
Tonga,2009,1.3
Uganda,2009,45.9
Ukraine,2009,0.1
Upper middle income,2009,12.2
Uruguay,2009,0.3
United States,2009,1.0
World,2009,17.6
Kosovo,2009,3.4
Argentina,2010,0.7
Armenia,2010,1.0
Australia,2010,0.3
Austria,2010,0.5
Belgium,2010,0.1
Bangladesh,2010,18.2
Bulgaria,2010,2.0
Belarus,2010,0.0
Canada,2010,0.2
Switzerland,2010,0.0
China,2010,13.9
Colombia,2010,8.3
Costa Rica,2010,1.5
Cyprus,2010,0.0
Czech Republic,2010,0.0
Germany,2010,0.0
Denmark,2010,0.1
Dominican Republic,2010,3.9
East Asia & Pacific,2010,13.2
Europe & Central Asia,2010,1.2
Ecuador,2010,5.7
Egypt,2010,1.0
Spain,2010,0.7
Estonia,2010,0.8
Ethiopia,2010,30.8
Fragile and conflict affected situations,2010,32.0
Finland,2010,0.1
France,2010,0.1
United Kingdom,2010,0.2
Georgia,2010,14.4
"Gambia, The",2010,29.8
Guinea-Bissau,2010,66.7
Greece,2010,1.0
High income,2010,0.5
Honduras,2010,13.8
Croatia,2010,1.2
Hungary,2010,0.1
IDA total,2010,31.2
Indonesia,2010,18.3
Ireland,2010,0.5
Iceland,2010,0.1
Israel,2010,0.5
Italy,2010,1.3
Jordan,2010,0.0
Japan,2010,0.0
Kazakhstan,2010,0.2
Kyrgyz Republic,2010,3.5
South Korea,2010,0.5
Latin America & Caribbean,2010,5.9
Low income,2010,46.7
Lower middle income,2010,23.8
Low & middle income,2010,19.6
Lithuania,2010,1.5
Luxembourg,2010,0.0
Latvia,2010,1.7
Moldova,2010,0.4
Madagascar,2010,80.2
Middle East & North Africa,2010,2.0
Mexico,2010,4.7
North Macedonia,2010,10.4
Malta,2010,0.2
Mongolia,2010,1.1
Malawi,2010,68.4
Nigeria,2010,34.9
Netherlands,2010,0.0
Norway,2010,0.2
Nepal,2010,8.2
Pakistan,2010,9.4
Panama,2010,3.4
Peru,2010,6.8
Poland,2010,0.3
Portugal,2010,0.1
Paraguay,2010,5.5
West Bank and Gaza,2010,0.0
Romania,2010,4.2
Russia,2010,0.1
Rwanda,2010,59.2
South Asia,2010,25.4
El Salvador,2010,6.3
Sub-Saharan Africa,2010,42.1
Sao Tome and Principe,2010,22.6
Slovakia,2010,0.5
Slovenia,2010,0.0
Sweden,2010,0.5
Thailand,2010,0.3
Tunisia,2010,1.5
Tuvalu,2010,3.6
Ukraine,2010,0.0
Upper middle income,2010,10.6
Uruguay,2010,0.2
United States,2010,1.0
Vietnam,2010,2.9
Vanuatu,2010,14.7
World,2010,15.9
Kosovo,2010,2.9
South Africa,2010,18.0
Zambia,2010,64.4
Argentina,2011,0.7
Armenia,2011,1.2
Austria,2011,0.4
Belgium,2011,0.2
Benin,2011,54.3
Bulgaria,2011,2.5
Bosnia And Herzegovina,2011,0.1
Belarus,2011,0.0
Bolivia,2011,5.3
Brazil,2011,5.3
Canada,2011,0.2
Switzerland,2011,0.0
Chile,2011,0.9
China,2011,10.2
"Congo, Rep.",2011,35.4
Colombia,2011,6.8
Costa Rica,2011,1.8
Cyprus,2011,0.0
Czech Republic,2011,0.0
Germany,2011,0.0
Denmark,2011,0.0
Dominican Republic,2011,4.1
Algeria,2011,0.5
East Asia & Pacific,2011,10.3
Europe & Central Asia,2011,0.9
Ecuador,2011,4.7
Spain,2011,1.1
Estonia,2011,1.0
Fragile and conflict affected situations,2011,31.4
Finland,2011,0.0
France,2011,0.0
United Kingdom,2011,0.2
Georgia,2011,13.4
Greece,2011,1.1
High income,2011,0.5
Honduras,2011,14.3
Croatia,2011,0.6
Hungary,2011,0.1
IDA total,2011,30.2
Indonesia,2011,15.7
India,2011,22.9
Ireland,2011,0.5
Iran,2011,0.5
Iceland,2011,0.1
Israel,2011,0.2
Italy,2011,1.2
Kazakhstan,2011,0.1
Kyrgyz Republic,2011,1.3
Lebanon,2011,0.0
Latin America & Caribbean,2011,5.5
Low income,2011,45.6
Lower middle income,2011,21.2
Low & middle income,2011,17.2
Lithuania,2011,0.7
Luxembourg,2011,0.1
Latvia,2011,1.0
Moldova,2011,0.2
Middle East & North Africa,2011,2.2
North Macedonia,2011,9.1
Malta,2011,0.2
Mongolia,2011,0.9
Malaysia,2011,0.1
Niger,2011,60.6
Netherlands,2011,0.1
Norway,2011,0.1
Pakistan,2011,9.6
Panama,2011,2.5
Peru,2011,6.5
Poland,2011,0.3
Portugal,2011,0.5
Paraguay,2011,5.0
West Bank and Gaza,2011,0.2
Romania,2011,5.4
Russia,2011,0.0
South Asia,2011,21.6
Senegal,2011,41.0
Sierra Leone,2011,38.7
El Salvador,2011,5.3
Sub-Saharan Africa,2011,41.0
Slovakia,2011,0.4
Slovenia,2011,0.0
Sweden,2011,0.6
Chad,2011,36.6
Togo,2011,58.9
Thailand,2011,0.1
Tanzania,2011,44.7
Ukraine,2011,0.0
Upper middle income,2011,8.3
Uruguay,2011,0.1
United States,2011,1.0
World,2011,14.0
Kosovo,2011,1.9
Zimbabwe,2011,21.6
Albania,2012,0.6
Argentina,2012,0.6
Armenia,2012,0.8
Austria,2012,0.6
Belgium,2012,0.2
Bulgaria,2012,2.3
Belarus,2012,0.0
Bolivia,2012,6.5
Brazil,2012,4.5
Bhutan,2012,1.7
Canada,2012,0.2
Switzerland,2012,0.0
China,2012,8.5
"Congo, Dem. Rep.",2012,69.7
Colombia,2012,6.7
Costa Rica,2012,1.7
Cyprus,2012,0.0
Czech Republic,2012,0.0
Germany,2012,0.0
Djibouti,2012,19.7
Denmark,2012,0.0
Dominican Republic,2012,3.8
East Asia & Pacific,2012,8.8
Europe & Central Asia,2012,0.9
Ecuador,2012,4.5
Egypt,2012,0.9
Spain,2012,0.9
Estonia,2012,0.7
Fragile and conflict affected situations,2012,30.8
Finland,2012,0.1
France,2012,0.1
United Kingdom,2012,0.2
Georgia,2012,10.7
Ghana,2012,25.7
Guinea,2012,24.5
Greece,2012,1.5
High income,2012,0.5
Honduras,2012,17.0
Croatia,2012,0.8
Haiti,2012,29.2
Hungary,2012,0.3
IDA total,2012,29.3
Indonesia,2012,13.7
Ireland,2012,0.3
Iran,2012,0.3
Iraq,2012,0.1
Iceland,2012,0.0
Israel,2012,0.5
Italy,2012,1.2
Kazakhstan,2012,0.0
Kyrgyz Republic,2012,2.6
South Korea,2012,0.2
Lao PDR,2012,10.9
Latin America & Caribbean,2012,5.1
Low income,2012,44.5
Sri Lanka,2012,2.6
Lower middle income,2012,19.8
Low & middle income,2012,16.0
Lithuania,2012,0.9
Luxembourg,2012,0.0
Latvia,2012,1.1
Moldova,2012,0.1
Madagascar,2012,80.7
Middle East & North Africa,2012,2.3
Mexico,2012,4.2
North Macedonia,2012,6.9
Malta,2012,0.1
Montenegro,2012,3.0
Mongolia,2012,0.5
Mauritius,2012,0.4
Nigeria,2012,33.8
Netherlands,2012,0.1
Norway,2012,0.1
Nauru,2012,1.7
Panama,2012,3.5
Peru,2012,6.1
Philippines,2012,10.9
Poland,2012,0.2
Portugal,2012,0.7
Paraguay,2012,3.3
Romania,2012,6.2
Russia,2012,0.0
South Asia,2012,19.9
Solomon Islands,2012,26.6
El Salvador,2012,4.6
Serbia,2012,5.3
Sub-Saharan Africa,2012,39.8
Slovakia,2012,0.4
Slovenia,2012,0.0
Sweden,2012,0.5
Thailand,2012,0.1
Uganda,2012,37.5
Ukraine,2012,0.1
Upper middle income,2012,7.1
Uruguay,2012,0.2
United States,2012,1.0
Vietnam,2012,1.7
World,2012,13.1
Kosovo,2012,0.8
United Arab Emirates,2013,0.0
Argentina,2013,0.7
Armenia,2013,1.7
Austria,2013,0.3
Burundi,2013,65.1
Belgium,2013,0.1
Bulgaria,2013,1.8
Belarus,2013,0.0
Bolivia,2013,5.2
Brazil,2013,3.7
Canada,2013,0.5
Switzerland,2013,0.0
Chile,2013,0.5
China,2013,2.9
Colombia,2013,6.1
Costa Rica,2013,1.6
Cyprus,2013,0.1
Czech Republic,2013,0.0
Germany,2013,0.0
Djibouti,2013,24.9
Denmark,2013,0.3
Dominican Republic,2013,3.0
East Asia & Pacific,2013,4.5
Europe & Central Asia,2013,0.7
Ecuador,2013,3.2
Spain,2013,1.1
Estonia,2013,0.9
Fragile and conflict affected situations,2013,30.1
Finland,2013,0.1
Fiji,2013,0.4
France,2013,0.1
"Micronesia, Fed. Sts.",2013,16.0
United Kingdom,2013,0.2
Georgia,2013,8.1
Greece,2013,1.0
High income,2013,0.5
Honduras,2013,14.6
Croatia,2013,0.7
Hungary,2013,0.2
IDA total,2013,28.5
Indonesia,2013,11.2
Ireland,2013,0.7
Iran,2013,0.3
Iceland,2013,0.0
Israel,2013,0.5
Italy,2013,1.4
Japan,2013,0.7
Kazakhstan,2013,0.0
Kyrgyz Republic,2013,2.6
Latin America & Caribbean,2013,4.6
Low income,2013,43.9
Lower middle income,2013,19.0
Low & middle income,2013,14.2
Lithuania,2013,0.7
Luxembourg,2013,0.1
Latvia,2013,1.2
Morocco,2013,1.4
Moldova,2013,0.0
Middle East & North Africa,2013,2.5
North Macedonia,2013,5.2
Malta,2013,0.0
Montenegro,2013,3.0
Malaysia,2013,0.0
Netherlands,2013,0.1
Norway,2013,0.1
Pakistan,2013,7.4
Panama,2013,2.2
Peru,2013,5.4
Poland,2013,0.4
Portugal,2013,0.9
Paraguay,2013,1.8
Romania,2013,6.6
Russia,2013,0.0
Rwanda,2013,53.7
South Asia,2013,18.9
El Salvador,2013,3.6
Serbia,2013,5.8
Sub-Saharan Africa,2013,38.9
Slovakia,2013,0.3
Slovenia,2013,0.0
Sweden,2013,0.7
Seychelles,2013,1.2
Thailand,2013,0.1
Ukraine,2013,0.0
Upper middle income,2013,3.8
Uruguay,2013,0.2
United States,2013,1.0
World,2013,11.6
Samoa,2013,1.2
Kosovo,2013,0.4
Albania,2014,1.0
Argentina,2014,0.6
Armenia,2014,1.4
Australia,2014,0.5
Austria,2014,0.2
Belgium,2014,0.1
Burkina Faso,2014,39.6
Bulgaria,2014,1.7
Belarus,2014,0.0
Bolivia,2014,4.3
Brazil,2014,3.3
Canada,2014,0.2
Switzerland,2014,0.0
China,2014,2.1
Cameroon,2014,25.7
Colombia,2014,5.4
Comoros,2014,18.6
Costa Rica,2014,1.5
Cyprus,2014,0.1
Czech Republic,2014,0.0
Germany,2014,0.0
Denmark,2014,0.2
Dominican Republic,2014,3.4
East Asia & Pacific,2014,3.6
Europe & Central Asia,2014,1.0
Ecuador,2014,2.6
Spain,2014,0.8
Estonia,2014,0.8
Fragile and conflict affected situations,2014,29.5
Finland,2014,0.1
France,2014,0.0
United Kingdom,2014,0.2
Georgia,2014,6.1
Greece,2014,1.5
Guatemala,2014,9.5
High income,2014,0.7
Honduras,2014,13.3
Croatia,2014,1.0
Hungary,2014,0.7
IDA total,2014,27.8
Indonesia,2014,9.3
Ireland,2014,0.4
Iran,2014,0.6
Iceland,2014,0.0
Israel,2014,0.5
Italy,2014,1.2
Kazakhstan,2014,0.0
Kyrgyz Republic,2014,1.0
South Korea,2014,0.2
Liberia,2014,25.9
Latin America & Caribbean,2014,4.3
Low income,2014,43.4
Lower middle income,2014,18.1
Low & middle income,2014,13.5
Lithuania,2014,1.3
Luxembourg,2014,0.1
Latvia,2014,0.8
Moldova,2014,0.0
Middle East & North Africa,2014,2.8
Mexico,2014,4.0
North Macedonia,2014,4.5
Malta,2014,0.0
Montenegro,2014,1.6
Mongolia,2014,0.3
Mozambique,2014,64.6
Mauritania,2014,6.5
Niger,2014,53.6
Nicaragua,2014,3.9
Netherlands,2014,0.1
Norway,2014,0.1
Panama,2014,2.9
Peru,2014,4.8
Poland,2014,0.4
Portugal,2014,0.5
Paraguay,2014,2.4
Romania,2014,7.0
Russia,2014,0.0
South Asia,2014,17.9
Sudan,2014,15.3
El Salvador,2014,3.4
Serbia,2014,6.9
Sub-Saharan Africa,2014,38.1
Slovakia,2014,0.7
Slovenia,2014,0.0
Sweden,2014,0.5
Thailand,2014,0.1
Timor-Leste,2014,24.4
Ukraine,2014,0.0
Upper middle income,2014,3.2
Uruguay,2014,0.2
United States,2014,1.2
Vietnam,2014,1.9
World,2014,11.1
Kosovo,2014,1.1
"Yemen, Rep.",2014,19.8
South Africa,2014,20.5
Albania,2015,0.1
Armenia,2015,1.1
Austria,2015,0.7
Belgium,2015,0.1
Benin,2015,50.7
Bulgaria,2015,3.4
Belarus,2015,0.0
Bolivia,2015,4.6
Brazil,2015,3.9
Botswana,2015,15.4
Canada,2015,0.2
Switzerland,2015,0.0
Chile,2015,0.4
China,2015,1.2
Ivory Coast,2015,33.4
Colombia,2015,4.9
Cabo Verde,2015,4.6
Costa Rica,2015,1.6
Cyprus,2015,0.0
Czech Republic,2015,0.0
Germany,2015,0.0
Denmark,2015,0.2
Dominican Republic,2015,2.5
East Asia & Pacific,2015,2.7
Europe & Central Asia,2015,0.8
Ecuador,2015,3.4
Egypt,2015,0.9
Spain,2015,0.9
Estonia,2015,0.6
Ethiopia,2015,27.0
Fragile and conflict affected situations,2015,31.1
Finland,2015,0.1
France,2015,0.1
United Kingdom,2015,0.2
Georgia,2015,4.9
"Gambia, The",2015,13.4
Greece,2015,1.4
High income,2015,0.7
Honduras,2015,13.0
Croatia,2015,0.6
Hungary,2015,0.6
IDA total,2015,27.9
Indonesia,2015,8.3
India,2015,18.8
Ireland,2015,0.4
Iran,2015,0.4
Iceland,2015,0.0
Israel,2015,0.5
Italy,2015,1.9
Kazakhstan,2015,0.0
Kenya,2015,29.4
Kyrgyz Republic,2015,2.2
St. Lucia,2015,0.1
Latin America & Caribbean,2015,4.1
Low income,2015,44.6
Lower middle income,2015,17.1
Low & middle income,2015,12.9
Lithuania,2015,0.7
Luxembourg,2015,0.3
Latvia,2015,0.7
Moldova,2015,0.0
Middle East & North Africa,2015,3.7
North Macedonia,2015,5.5
Malta,2015,0.1
Myanmar,2015,6.2
Montenegro,2015,1.3
Malaysia,2015,0.0
Namibia,2015,15.6
Nigeria,2015,32.3
Netherlands,2015,0.1
Norway,2015,0.2
Pakistan,2015,5.1
Panama,2015,1.5
Peru,2015,4.7
Philippines,2015,6.5
Poland,2015,0.4
Portugal,2015,0.5
Paraguay,2015,1.9
Romania,2015,5.3
Russia,2015,0.0
South Asia,2015,16.6
El Salvador,2015,2.3
Serbia,2015,6.6
Sub-Saharan Africa,2015,38.2
Slovakia,2015,0.7
Slovenia,2015,0.0
Sweden,2015,0.6
Togo,2015,54.7
Thailand,2015,0.0
Tajikistan,2015,6.1
Tonga,2015,1.8
Tunisia,2015,0.1
Ukraine,2015,0.1
Upper middle income,2015,2.6
Uruguay,2015,0.1
United States,2015,1.2
World,2015,10.6
Kosovo,2015,0.8
Zambia,2015,60.8
Albania,2016,0.1
Argentina,2016,0.7
Armenia,2016,1.1
Australia,2016,0.5
Austria,2016,0.7
Belgium,2016,0.1
Bangladesh,2016,13.5
Bulgaria,2016,2.0
Belarus,2016,0.0
Bolivia,2016,5.6
Brazil,2016,4.7
Canada,2016,0.2
Switzerland,2016,0.0
China,2016,0.8
Colombia,2016,4.9
Costa Rica,2016,1.3
Cyprus,2016,0.0
Czech Republic,2016,0.0
Germany,2016,0.0
Denmark,2016,0.3
Dominican Republic,2016,2.0
East Asia & Pacific,2016,2.3
Europe & Central Asia,2016,0.7
Ecuador,2016,3.6
Spain,2016,1.1
Estonia,2016,0.5
Fragile and conflict affected situations,2016,31.4
Finland,2016,0.0
France,2016,0.1
United Kingdom,2016,0.2
Georgia,2016,4.9
Ghana,2016,25.2
Greece,2016,1.0
High income,2016,0.6
Honduras,2016,14.6
Croatia,2016,0.6
Hungary,2016,1.3
IDA total,2016,27.7
Indonesia,2016,7.5
India,2016,18.1
Ireland,2016,0.1
Iran,2016,0.4
Iceland,2016,0.0
Israel,2016,0.2
Italy,2016,1.6
Kazakhstan,2016,0.1
Kyrgyz Republic,2016,1.1
South Korea,2016,0.2
Liberia,2016,27.6
Latin America & Caribbean,2016,4.3
Low income,2016,44.8
Sri Lanka,2016,1.3
Lower middle income,2016,16.5
Low & middle income,2016,12.6
Lithuania,2016,1.3
Luxembourg,2016,0.1
Latvia,2016,0.6
Moldova,2016,0.1
Maldives,2016,0.0
Middle East & North Africa,2016,4.5
Mexico,2016,2.3
North Macedonia,2016,4.2
Malta,2016,0.1
Montenegro,2016,2.5
Mongolia,2016,0.7
Malawi,2016,65.7
Netherlands,2016,0.0
Norway,2016,0.3
Panama,2016,1.5
Peru,2016,4.6
Poland,2016,0.2
Portugal,2016,0.4
Paraguay,2016,1.7
West Bank and Gaza,2016,0.5
Romania,2016,3.2
Russia,2016,0.0
Rwanda,2016,52.0
South Asia,2016,15.8
El Salvador,2016,2.6
Serbia,2016,6.4
South Sudan,2016,67.3
Sub-Saharan Africa,2016,38.0
Slovakia,2016,1.4
Slovenia,2016,0.0
Sweden,2016,0.3
Eswatini,2016,36.1
Thailand,2016,0.0
Uganda,2016,42.9
Ukraine,2016,0.1
Upper middle income,2016,2.4
Uruguay,2016,0.1
United States,2016,1.0
Vietnam,2016,1.3
World,2016,10.4
Kosovo,2016,0.8
Albania,2017,0.4
Argentina,2017,0.6
Armenia,2017,0.8
Austria,2017,0.3
Belgium,2017,0.1
Bulgaria,2017,1.4
Belarus,2017,0.0
Bolivia,2017,4.9
Brazil,2017,5.3
Bhutan,2017,0.9
Canada,2017,0.2
Switzerland,2017,0.0
Chile,2017,0.4
China,2017,0.7
Colombia,2017,4.3
Costa Rica,2017,1.2
Cyprus,2017,0.0
Czech Republic,2017,0.0
Germany,2017,0.2
Djibouti,2017,19.1
Denmark,2017,0.1
Dominican Republic,2017,1.0
East Asia & Pacific,2017,2.0
Europe & Central Asia,2017,0.7
Ecuador,2017,3.2
Egypt,2017,2.5
Spain,2017,0.7
Estonia,2017,0.3
Fragile and conflict affected situations,2017,31.1
Finland,2017,0.1
France,2017,0.0
Gabon,2017,2.5
United Kingdom,2017,0.2
Georgia,2017,6.2
Greece,2017,0.9
High income,2017,0.6
Honduras,2017,13.9
Croatia,2017,0.5
Hungary,2017,0.6
IDA total,2017,27.0
Indonesia,2017,6.6
India,2017,13.4
Ireland,2017,0.2
Iran,2017,0.3
Iceland,2017,0.0
Israel,2017,0.5
Italy,2017,1.4
Kazakhstan,2017,0.0
Kyrgyz Republic,2017,1.3
Latin America & Caribbean,2017,4.3
Low income,2017,44.5
Lower middle income,2017,14.4
Low & middle income,2017,11.6
Lesotho,2017,32.4
Lithuania,2017,1.0
Luxembourg,2017,0.3
Latvia,2017,0.8
Moldova,2017,0.0
Middle East & North Africa,2017,4.7
North Macedonia,2017,4.5
Malta,2017,0.2
Myanmar,2017,2.0
Montenegro,2017,3.3
Mauritius,2017,0.1
Netherlands,2017,0.2
Norway,2017,0.3
Panama,2017,2.1
Peru,2017,4.5
Poland,2017,0.3
Portugal,2017,0.4
Paraguay,2017,1.0
Romania,2017,3.3
Russia,2017,0.0
South Asia,2017,12.6
